399806,Shumann Symphony Hills,Persiaran Bestari Cyber 9 Cyberjaya 63000 Selangor,3132,3 Storey Terrace,5+1,5,24-Hours Security-Parking-Shuttle Bus-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Sauna-Badminton Court,3500,60176284786
340898,Tamarind Suites,Persiaran Sepang Cyberjaya 63000 Selangor,403,Condominium,1,1,24-Hours Security-Parking-Shuttle Bus-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Wading Pool-Jacuzzi-Sauna-Salon,1000,60175270006
335737,Verdi Eco-Dominiums,Persiaran Simfoni Off Persiaran Bestari Cyberjaya 63000 Selangor,1389,Condominium,3+1,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Tennis Court,2700,60163425250
409179,Kenwingston Square,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Mini Market-Playground-Swimming Pool-Sauna-Badminton Court-Business Centre,1000,60193100519
301588,Vision Residence (V’Residence),Jalan Pulau Meranti Cyberjaya 47100 Selangor,1373,Condominium,3,2,Swimming Pool-Wading Pool-Gymnasium-Multipurpose Hall-Cafeteria-Badminton Court-BBQ-Playground-Launderette-Nursery-Mini Market-Jacuzzi,1500,60195522328
286951,Eclipse Residence @ Pan'gaea,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,Swimming Pool-Gymnasium-Playground-Squash Court-BBQ-Multipurpose Hall,950,60163458309
173049,Lakefront Residence,Persiaran Semarak Api Cyberjaya 63000 Selangor,1200,Condominium,3,2,24-Hours Security-BBQ-Gymnasium-Jogging Track-Playground,2000,60193100519
490420,Kanvas Soho,Jalan Teknokrat 6 Off Persiaran Apec Cyberjaya 63000 Selangor,485,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Mini Market-Gymnasium-Playground-Swimming Pool-Wading Pool-Jacuzzi-Nursery,1000,60163458309
625868,Solstice @ Pan'gaea,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,Parking-Shuttle Bus-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Squash Court,850,60193100519
310304,Mutiara Ville,Persiaran Sepang Off Persiaran Multimedia Cyberjaya 63000 Selangor,975,Condominium,3,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Nursery-Business Centre-Salon,1100,60102356385
951664,Sky Park,Jalan Teknorat Cyberjaya 47100 Selangor,739,Condominium,4,1,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Sauna-Squash Court-Tennis Court-Cafeteria-Salon,1000,60175743033
805043,Cristal Serin Residence,Persiaran Fauna 1 Off Persiaran Ceria Cyberjaya 63000 Selangor,1521,Condominium,3+1,3,24-Hours Security-Parking-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Business Centre-Salon,2500,60126984533
283905,HYVE,Jalan Impact Cyberjaya 63000 Selangor,770,Serviced Residence,3,2,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool-Badminton Court,1500,60124596154
332807,Isle of Kamares,Persiaran Setia Eco Glades Cyberjaya 63000 Selangor,1414,Condominium,3+1,3,Swimming Pool-Jacuzzi-Wading Pool-Playground-BBQ-Multipurpose Hall-Cafeteria-Gymnasium,3100,60122666481
686200,Cybersquare,Jalan Teknokrat 6 Cyberjaya 63000 Selangor,799,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Sauna-Basketball Court-Cafeteria-Business Centre-Salon,799,60193860607
611688,Liu Li Villa,Setia Eco Glades Cyberjaya 63000 Selangor,2930,Double storey terrace,3+1,4,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool,3500,60165315011
743124,Mirage By The Lake,Jalan Mirage 3 Cyberjaya 63000 Selangor,1496,Condominium,3,4,Sauna-Badminton Court-Gymnasium-Swimming Ppool-BBQ-Multipurpose Hall-Playground,3500,60129628904
626753,Gardenview Residences,Lingkaran Cyber Point Barat Off Persiaran Ceria Cyberjaya 63000 Selangor,1066,Condominium,3,2,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Tennis Court-Nursery,1500,60162445851
545191,ZINNIA @ Maple Residence,Laman View Cyber 9 63000 Cyberjaya Selangor,2133,Double storey terrace,4+1,4,Gymnasium-24 Hours Security-Swimming Pool-Jacuzzi-BBQ-Playground-Basketball Court-Library-Multipurpose Hall,3000,60162336932
290643,Jacaranda Garden Residence,Garden Residence 63100 Selangor,4541,Bungalow,6,6,24-Hours Security-Parking-BBQ-Club House-Gymnasium-Jogging Track-Playground-Swimming Pool,8500,60169283184
