ID,Name,Address,Built-up Size (ft),Type,Room,Bathroom,Facilities,Rental (RM),Contact
930098,Garden Plaza,Persiaran Harmoni Cyberjaya 62000 Selangor,700,Double Storey,4,2,Swimming Pool-Gymnasium-Business Centre-Multipurpose Hall-Library,1200,60175743033
399806,Shumann Symphony Hills,Persiaran Bestari Cyber 9 Cyberjaya 63000 Selangor,3132,3 Storey Terrace,5+1,5,24-Hours Security-Parking-Shuttle Bus-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Sauna-Badminton Court,3500,60176284786
430514,Centrus Soho,Lingkaran Cyber Point Timur Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,Playground-Tennis Court-Swimming Pool-Jacuzzi-Gymnasium,900,60163458309
340898,Tamarind Suites,Persiaran Sepang Cyberjaya 63000 Selangor,403,Condominium,1,1,24-Hours Security-Parking-Shuttle Bus-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Wading Pool-Jacuzzi-Sauna-Salon,1000,60175270006
335737,Verdi Eco-Dominiums,Persiaran Simfoni Off Persiaran Bestari Cyberjaya 63000 Selangor,1389,Condominium,3+1,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Tennis Court,2700,60163425250
409179,Kenwingston Square,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Mini Market-Playground-Swimming Pool-Sauna-Badminton Court-Business Centre,1000,60193100519
301588,Vision Residence (V’Residence),Jalan Pulau Meranti Cyberjaya 47100 Selangor,1373,Condominium,3,2,Swimming Pool-Wading Pool-Gymnasium-Multipurpose Hall-Cafeteria-Badminton Court-BBQ-Playground-Launderette-Nursery-Mini Market-Jacuzzi,1500,60195522328
286951,Eclipse Residence @ Pan'gaea,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,Swimming Pool-Gymnasium-Playground-Squash Court-BBQ-Multipurpose Hall,950,60163458309
173049,Lakefront Residence,Persiaran Semarak Api Cyberjaya 63000 Selangor,1200,Condominium,3,2,24-Hours Security-BBQ-Gymnasium-Jogging Track-Playground,2000,60193100519
860746,Clover @ Garden Residence,Garden Residence Cyberjaya 63100 Selangor,3800,Semi-detached House,5+1,6,Jogging Track-Playground,4000,60193852202
490420,Kanvas Soho,Jalan Teknokrat 6 Off Persiaran Apec Cyberjaya 63000 Selangor,485,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Mini Market-Gymnasium-Playground-Swimming Pool-Wading Pool-Jacuzzi-Nursery,1000,60163458309
811724,D'Pulze Cyberjaya,Persiaran Multimedia Cyberjaya 63000 Selangor,558,Serviced Residence,1,1,24-Hours Security-Playground-Swimming Pool-Gymnasium,1100,60122200422
625868,Solstice @ Pan'gaea,Persiaran Bestari Cyberjaya 63000 Selangor,450,Serviced Residence,1,1,Parking-Shuttle Bus-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Squash Court,850,60193100519
657225,Third Avenue,Jalan Teknokrat 3 Cyberjaya 63000 Selangor,615,Serviced Residence,1,1,24-Hours Security-Parking-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Wading Pool-Jacuzzi-Tennis Court-Cafeteria-Business Centre-Salon,1500,60193100519
951664,Sky Park,Jalan Teknorat Cyberjaya 47100 Selangor,739,Condominium,4,1,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Sauna-Squash Court-Tennis Court-Cafeteria-Salon,1000,60175743033
805043,Cristal Serin Residence,Persiaran Fauna 1 Off Persiaran Ceria Cyberjaya 63000 Selangor,1521,Condominium,3+1,3,24-Hours Security-Parking-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Business Centre-Salon,2500,60126984533
283905,HYVE,Jalan Impact Cyberjaya 63000 Selangor,770,Serviced Residence,3,2,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool-Badminton Court,1500,60124596154
901494,Ceria Residence,Jalan Ceria 1e Cyberjaya 63000 Selangor,1191,Condominium,4,3,24-Hours Security-Parking-Club House-Mini Market-Gymnasium-Jogging Track-Swimming Pool-Wading Pool-Jacuzzi,2000,60122050311
332807,Isle of Kamares,Persiaran Setia Eco Glades Cyberjaya 63000 Selangor,1414,Condominium,3+1,3,Swimming Pool-Jacuzzi-Wading Pool-Playground-BBQ-Multipurpose Hall-Cafeteria-Gymnasium,3100,60122666481
159687,Laurel Residence @ Laman View,Laman View Cyberjaya 63000 Selangor,2680,Double storey terrace,4+1,3,Parking-Playground,2000,60183740266
951916,Casa Green,Casa View Cybersouth Jalan CG 1 Casa Green Casa View Cybersouth 43800 Selangor,1719,Double storey terrace,3+1,3,24-Hours Security-Parking-Jogging Track-Playground-Badminton Court-Basketball Court,1599,60162010051
686200,Cybersquare,Jalan Teknokrat 6 Cyberjaya 63000 Selangor,799,Serviced Residence,1,1,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Sauna-Basketball Court-Cafeteria-Business Centre-Salon,799,60193860607
